train/loss,train/u_accuracy,train/v_accuracy,val/loss,val/u_accuracy,val/v_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0.0011992669897153974,0.4375,0.125,0.001804908737540245,0.274399995803833,0.23954999446868896,82.28054213523865,False,,,1,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-29-46,1688743786,82.28054213523865,5848,CTB455-Salmon,10.32.114.243,82.28054213523865,0,1,0.0028820037841796875
0.0005970644997432828,0.5,0.5625,0.0006906313938088715,0.45214998722076416,0.4299499988555908,51.43512678146362,False,,,2,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-30-38,1688743838,133.71566891670227,5848,CTB455-Salmon,10.32.114.243,133.71566891670227,0,2,0.0028820037841796875
0.00023197996779344976,0.3125,0.6875,0.0004702475562226027,0.2935499846935272,0.5733000040054321,50.40549039840698,False,,,3,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-31-28,1688743888,184.12115931510925,5848,CTB455-Salmon,10.32.114.243,184.12115931510925,0,3,0.0028820037841796875
0.00020872507593594491,0.625,0.4375,0.00042273051803931594,0.5702499747276306,0.2865999937057495,52.37049889564514,False,,,4,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-32-20,1688743940,236.4916582107544,5848,CTB455-Salmon,10.32.114.243,236.4916582107544,0,4,0.0028820037841796875
0.00021102247410453856,0.5,0.5,0.00037842130404897034,0.6083999872207642,0.2740499973297119,50.004241704940796,False,,,5,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-33-10,1688743990,286.4958999156952,5848,CTB455-Salmon,10.32.114.243,286.4958999156952,0,5,0.0028820037841796875
0.0003032480017282069,0.25,0.625,0.0003482186293695122,0.6226499676704407,0.5205999612808228,51.88169598579407,False,,,6,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-34-02,1688744042,338.37759590148926,5848,CTB455-Salmon,10.32.114.243,338.37759590148926,0,6,0.0028820037841796875
0.0003964799689128995,0.6875,0.8125,0.00031438592122867703,0.6911500096321106,0.8202999830245972,53.08682322502136,False,,,7,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-34-55,1688744095,391.4644191265106,5848,CTB455-Salmon,10.32.114.243,391.4644191265106,0,7,0.0028820037841796875
0.00042452296474948525,0.75,0.9375,0.00021821269183419645,0.6920499801635742,0.8651999831199646,54.25973582267761,False,,,8,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-35-50,1688744150,445.72415494918823,5848,CTB455-Salmon,10.32.114.243,445.72415494918823,0,8,0.0028820037841796875
0.00045219299499876797,0.625,0.6875,0.0001799162128008902,0.6922999620437622,0.76624995470047,53.43549585342407,False,,,9,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-36-43,1688744203,499.1596508026123,5848,CTB455-Salmon,10.32.114.243,499.1596508026123,0,9,0.0028820037841796875
0.00043860802543349564,0.4375,0.625,0.00019111884466838092,0.2683500051498413,0.6459499597549438,53.42228150367737,False,,,10,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-37-37,1688744257,552.5819323062897,5848,CTB455-Salmon,10.32.114.243,552.5819323062897,0,10,0.0028820037841796875
0.00041030996362678707,0.8125,0.75,0.00018647382967174053,0.0645499974489212,0.9080999493598938,51.12154173851013,False,,,11,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-38-28,1688744308,603.7034740447998,5848,CTB455-Salmon,10.32.114.243,603.7034740447998,0,11,0.0028820037841796875
0.0003834706440102309,0.5625,0.75,0.00016347238852176815,0.13005000352859497,0.7994499802589417,64.60836720466614,False,,,12,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-39-32,1688744372,668.3118412494659,5848,CTB455-Salmon,10.32.114.243,668.3118412494659,0,12,0.0028820037841796875
0.00034816181869246066,0.375,0.75,0.00012845492165070027,0.4902999997138977,0.6756500005722046,51.75163006782532,False,,,13,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-40-24,1688744424,720.0634713172913,5848,CTB455-Salmon,10.32.114.243,720.0634713172913,0,13,0.0028820037841796875
0.0002751628344412893,0.625,0.8125,0.00010897471656790003,0.613599956035614,0.7933499813079834,51.48677396774292,False,,,14,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-41-15,1688744475,771.5502452850342,5848,CTB455-Salmon,10.32.114.243,771.5502452850342,0,14,0.0028820037841796875
0.00017819777713157237,0.9375,0.8125,9.731337922858074e-05,0.668749988079071,0.9032999873161316,52.921048402786255,False,,,15,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-42-08,1688744528,824.4712936878204,5848,CTB455-Salmon,10.32.114.243,824.4712936878204,0,15,0.0028820037841796875
0.00011092514614574611,0.9375,0.875,0.00010334364196751267,0.628849983215332,0.8817999958992004,53.82370090484619,False,,,16,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-43-02,1688744582,878.2949945926666,5848,CTB455-Salmon,10.32.114.243,878.2949945926666,0,16,0.0028820037841796875
7.646335143363103e-05,0.9375,0.875,9.797354869078845e-05,0.6560499668121338,0.9092999696731567,55.06987953186035,False,,,17,849897e4,26d0ccba3e494407aa55eb287c411238,2023-07-07_09-43-57,1688744637,933.364874124527,5848,CTB455-Salmon,10.32.114.243,933.364874124527,0,17,0.0028820037841796875
