2023-07-06 22:51:29,073 INFO    StreamThr :205338 [internal.py:wandb_internal():87] W&B internal server running at pid: 205338, started at: 2023-07-06 22:51:29.072698
2023-07-06 22:51:29,074 DEBUG   HandlerThread:205338 [handler.py:handle_request():144] handle_request: status
2023-07-06 22:51:29,075 INFO    WriterThread:205338 [datastore.py:open_for_write():85] open: /home/daniel/research/catkin_ws/src/hyperparam_optimization/bellows_grub/run_logs/fnn_lhs_final/train_595eaec2_135_accuracy_tolerance=0.0100,act_fn=sigmoid,b_size=16,cpu_num=7,dataset_size=100000,dt=0.0100,generate_new_data=Fa_2023-07-06_22-51-26/wandb/run-20230706_225129-595eaec2/run-595eaec2.wandb
2023-07-06 22:51:29,076 DEBUG   SenderThread:205338 [sender.py:send():336] send: header
2023-07-06 22:51:29,087 DEBUG   SenderThread:205338 [sender.py:send():336] send: run
2023-07-06 22:51:29,809 DEBUG   HandlerThread:205338 [handler.py:handle_request():144] handle_request: check_version
2023-07-06 22:51:29,810 INFO    SenderThread:205338 [dir_watcher.py:__init__():219] watching files in: /home/daniel/research/catkin_ws/src/hyperparam_optimization/bellows_grub/run_logs/fnn_lhs_final/train_595eaec2_135_accuracy_tolerance=0.0100,act_fn=sigmoid,b_size=16,cpu_num=7,dataset_size=100000,dt=0.0100,generate_new_data=Fa_2023-07-06_22-51-26/wandb/run-20230706_225129-595eaec2/files
2023-07-06 22:51:29,810 INFO    SenderThread:205338 [sender.py:_start_run_threads():1078] run started: 595eaec2 with start time 1688705489.071363
2023-07-06 22:51:29,810 DEBUG   SenderThread:205338 [sender.py:send_request():363] send_request: summary_record
2023-07-06 22:51:29,810 INFO    SenderThread:205338 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-07-06 22:51:29,810 DEBUG   SenderThread:205338 [sender.py:send_request():363] send_request: check_version
2023-07-06 22:51:29,922 DEBUG   HandlerThread:205338 [handler.py:handle_request():144] handle_request: run_start
2023-07-06 22:51:29,929 DEBUG   HandlerThread:205338 [system_info.py:__init__():31] System info init
2023-07-06 22:51:29,929 DEBUG   HandlerThread:205338 [system_info.py:__init__():46] System info init done
2023-07-06 22:51:29,929 INFO    HandlerThread:205338 [system_monitor.py:start():183] Starting system monitor
2023-07-06 22:51:29,930 INFO    SystemMonitor:205338 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-07-06 22:51:29,930 INFO    HandlerThread:205338 [system_monitor.py:probe():204] Collecting system info
2023-07-06 22:51:29,930 INFO    SystemMonitor:205338 [interfaces.py:start():187] Started cpu monitoring
2023-07-06 22:51:29,931 INFO    SystemMonitor:205338 [interfaces.py:start():187] Started disk monitoring
2023-07-06 22:51:29,932 INFO    SystemMonitor:205338 [interfaces.py:start():187] Started gpu monitoring
2023-07-06 22:51:29,932 INFO    SystemMonitor:205338 [interfaces.py:start():187] Started memory monitoring
2023-07-06 22:51:29,933 INFO    SystemMonitor:205338 [interfaces.py:start():187] Started network monitoring
2023-07-06 22:51:29,956 DEBUG   HandlerThread:205338 [system_info.py:probe():195] Probing system
2023-07-06 22:51:29,962 DEBUG   HandlerThread:205338 [system_info.py:_probe_git():180] Probing git
2023-07-06 22:51:29,973 DEBUG   HandlerThread:205338 [system_info.py:_probe_git():188] Probing git done
2023-07-06 22:51:29,973 DEBUG   HandlerThread:205338 [system_info.py:probe():240] Probing system done
