train/loss,train/u_accuracy,train/v_accuracy,val/loss,val/u_accuracy,val/v_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
843.7406616210938,0.0,0.0,839.1085205078125,0.0,0.0,48.550583362579346,False,,,1,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-08-41,1688771321,48.550583362579346,1968115,CTB455-Salmon,10.32.114.243,48.550583362579346,0,1,0.0025055408477783203
563.2601928710938,0.0,0.0,560.3043823242188,0.0,0.0,31.504602909088135,False,,,2,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-09-13,1688771353,80.05518627166748,1968115,CTB455-Salmon,10.32.114.243,80.05518627166748,0,2,0.0025055408477783203
362.01080322265625,0.0,0.0,360.0754089355469,0.0,0.0,30.039419174194336,False,,,3,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-09-43,1688771383,110.09460544586182,1968115,CTB455-Salmon,10.32.114.243,110.09460544586182,0,3,0.0025055408477783203
221.664306640625,0.0,0.0,220.38133239746094,0.0,0.0,30.183165311813354,False,,,4,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-10-13,1688771413,140.27777075767517,1968115,CTB455-Salmon,10.32.114.243,140.27777075767517,0,4,0.0025055408477783203
127.94105529785156,0.0,0.0,127.0210189819336,0.0,0.0,30.279783964157104,False,,,5,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-10-43,1688771443,170.55755472183228,1968115,CTB455-Salmon,10.32.114.243,170.55755472183228,0,5,0.0025055408477783203
68.65669250488281,0.0,0.0,67.96337127685547,0.0,0.0,30.338668823242188,False,,,6,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-11-13,1688771473,200.89622354507446,1968115,CTB455-Salmon,10.32.114.243,200.89622354507446,0,6,0.0025055408477783203
33.735107421875,0.0,0.0,33.14277648925781,0.0,0.00012499999138526618,30.24269461631775,False,,,7,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-11-44,1688771504,231.1389181613922,1968115,CTB455-Salmon,10.32.114.243,231.1389181613922,0,7,0.0025055408477783203
14.769222259521484,0.0,0.0,14.316960334777832,4.166666622040793e-05,0.0006249999860301614,30.375504732131958,False,,,8,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-12-14,1688771534,261.51442289352417,1968115,CTB455-Salmon,10.32.114.243,261.51442289352417,0,8,0.0025055408477783203
5.399482727050781,0.0,0.0,5.169841766357422,0.0002916666562668979,0.0038333332631736994,30.24011206626892,False,,,9,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-12-44,1688771564,291.7545349597931,1968115,CTB455-Salmon,10.32.114.243,291.7545349597931,0,9,0.0025055408477783203
1.571547269821167,0.0,0.0,1.4975638389587402,0.0030416666995733976,0.011958333663642406,30.32329273223877,False,,,10,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-13-15,1688771595,322.07782769203186,1968115,CTB455-Salmon,10.32.114.243,322.07782769203186,0,10,0.0025055408477783203
0.46107637882232666,0.03125,0.03125,0.4509149491786957,0.010708332993090153,0.012458332814276218,30.257187604904175,False,,,11,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-13-45,1688771625,352.33501529693604,1968115,CTB455-Salmon,10.32.114.243,352.33501529693604,0,11,0.0025055408477783203
0.23922808468341827,0.0,0.03125,0.2365422397851944,0.021250000223517418,0.01549999974668026,30.409157514572144,False,,,12,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-14-15,1688771655,382.7441728115082,1968115,CTB455-Salmon,10.32.114.243,382.7441728115082,0,12,0.0025055408477783203
0.15226314961910248,0.03125,0.03125,0.1528496891260147,0.025083333253860474,0.020375000312924385,30.438213348388672,False,,,13,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-14-46,1688771686,413.18238615989685,1968115,CTB455-Salmon,10.32.114.243,413.18238615989685,0,13,0.0025055408477783203
0.09373177587985992,0.0,0.03125,0.0976606234908104,0.03020833246409893,0.027374999597668648,30.330480575561523,False,,,14,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-15-16,1688771716,443.5128667354584,1968115,CTB455-Salmon,10.32.114.243,443.5128667354584,0,14,0.0025055408477783203
0.06019936129450798,0.0,0.03125,0.0656091496348381,0.035374999046325684,0.03312499821186066,30.344435214996338,False,,,15,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-15-46,1688771746,473.8573019504547,1968115,CTB455-Salmon,10.32.114.243,473.8573019504547,0,15,0.0025055408477783203
0.041466787457466125,0.0,0.09375,0.0465695783495903,0.03766666725277901,0.04208333417773247,30.1647367477417,False,,,16,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-16-17,1688771777,504.0220386981964,1968115,CTB455-Salmon,10.32.114.243,504.0220386981964,0,16,0.0025055408477783203
0.030462248250842094,0.09375,0.03125,0.03423062711954117,0.04270833358168602,0.05016666650772095,30.25991129875183,False,,,17,9684ccf7,9a95d6869b4140a6b098b83a1e6757c3,2023-07-07_17-16-47,1688771807,534.2819499969482,1968115,CTB455-Salmon,10.32.114.243,534.2819499969482,0,17,0.0025055408477783203
