2023-06-23 20:31:27,055 INFO    StreamThr :1116130 [internal.py:wandb_internal():87] W&B internal server running at pid: 1116130, started at: 2023-06-23 20:31:27.055285
2023-06-23 20:31:27,058 DEBUG   HandlerThread:1116130 [handler.py:handle_request():144] handle_request: status
2023-06-23 20:31:27,058 INFO    WriterThread:1116130 [datastore.py:open_for_write():85] open: /home/daniel/research/catkin_ws/src/hyperparam_optimization/bellows_grub/run_logs/fnn_testrun/train_e8d1e215_4_accuracy_tolerance=0.0100,act_fn=tanh,b_size=256,cpu_num=7,dataset_size=120000,dt=0.0100,generate_new_data=False,_2023-06-23_20-31-24/wandb/run-20230623_203127-e8d1e215/run-e8d1e215.wandb
2023-06-23 20:31:27,059 DEBUG   SenderThread:1116130 [sender.py:send():336] send: header
2023-06-23 20:31:27,068 DEBUG   SenderThread:1116130 [sender.py:send():336] send: run
2023-06-23 20:31:27,255 DEBUG   HandlerThread:1116130 [handler.py:handle_request():144] handle_request: check_version
2023-06-23 20:31:27,255 INFO    SenderThread:1116130 [dir_watcher.py:__init__():219] watching files in: /home/daniel/research/catkin_ws/src/hyperparam_optimization/bellows_grub/run_logs/fnn_testrun/train_e8d1e215_4_accuracy_tolerance=0.0100,act_fn=tanh,b_size=256,cpu_num=7,dataset_size=120000,dt=0.0100,generate_new_data=False,_2023-06-23_20-31-24/wandb/run-20230623_203127-e8d1e215/files
2023-06-23 20:31:27,256 INFO    SenderThread:1116130 [sender.py:_start_run_threads():1078] run started: e8d1e215 with start time 1687573887.054354
2023-06-23 20:31:27,256 DEBUG   SenderThread:1116130 [sender.py:send_request():363] send_request: summary_record
2023-06-23 20:31:27,256 INFO    SenderThread:1116130 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-06-23 20:31:27,256 DEBUG   SenderThread:1116130 [sender.py:send_request():363] send_request: check_version
2023-06-23 20:31:27,396 DEBUG   HandlerThread:1116130 [handler.py:handle_request():144] handle_request: run_start
2023-06-23 20:31:27,406 DEBUG   HandlerThread:1116130 [system_info.py:__init__():31] System info init
2023-06-23 20:31:27,406 DEBUG   HandlerThread:1116130 [system_info.py:__init__():46] System info init done
2023-06-23 20:31:27,406 INFO    HandlerThread:1116130 [system_monitor.py:start():183] Starting system monitor
2023-06-23 20:31:27,406 INFO    SystemMonitor:1116130 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-06-23 20:31:27,407 INFO    HandlerThread:1116130 [system_monitor.py:probe():204] Collecting system info
2023-06-23 20:31:27,407 INFO    SystemMonitor:1116130 [interfaces.py:start():187] Started cpu monitoring
2023-06-23 20:31:27,408 INFO    SystemMonitor:1116130 [interfaces.py:start():187] Started disk monitoring
2023-06-23 20:31:27,408 INFO    SystemMonitor:1116130 [interfaces.py:start():187] Started gpu monitoring
2023-06-23 20:31:27,408 INFO    SystemMonitor:1116130 [interfaces.py:start():187] Started memory monitoring
2023-06-23 20:31:27,409 INFO    SystemMonitor:1116130 [interfaces.py:start():187] Started network monitoring
2023-06-23 20:31:27,430 DEBUG   HandlerThread:1116130 [system_info.py:probe():195] Probing system
2023-06-23 20:31:27,436 DEBUG   HandlerThread:1116130 [system_info.py:_probe_git():180] Probing git
2023-06-23 20:31:27,447 DEBUG   HandlerThread:1116130 [system_info.py:_probe_git():188] Probing git done
2023-06-23 20:31:27,447 DEBUG   HandlerThread:1116130 [system_info.py:probe():240] Probing system done
