train/loss,train/x_accuracy,train/xdot_accuracy,val/loss,val/x_accuracy,val/xdot_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0.0028220885433256626,0.0625,0.1875,0.0028333484660834074,0.08366666734218597,0.3073333203792572,57.24308156967163,False,,,1,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_20-59-29,1683169169,57.24308156967163,827447,CTB455-Salmon,10.32.114.243,57.24308156967163,0,1,0.0029230117797851562
0.0013791947858408093,0.3125,0.1875,0.0017486349679529667,0.1798333376646042,0.19441667199134827,19.96843433380127,False,,,2,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_20-59-49,1683169189,77.2115159034729,827447,CTB455-Salmon,10.32.114.243,77.2115159034729,0,2,0.0029230117797851562
0.0043123625218868256,0.0625,0.375,0.0009363651042804122,0.24275000393390656,0.3465833365917206,18.52290987968445,False,,,3,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_21-00-07,1683169207,95.73442578315735,827447,CTB455-Salmon,10.32.114.243,95.73442578315735,0,3,0.0029230117797851562
0.002508617239072919,0.0,0.25,0.0011514060897752643,0.1912499964237213,0.4884999990463257,18.552979230880737,False,,,4,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_21-00-26,1683169226,114.28740501403809,827447,CTB455-Salmon,10.32.114.243,114.28740501403809,0,4,0.0029230117797851562
0.0006021838053129613,0.125,0.4375,0.0009130928665399551,0.18825000524520874,0.7427499890327454,18.48140287399292,False,,,5,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_21-00-44,1683169244,132.768807888031,827447,CTB455-Salmon,10.32.114.243,132.768807888031,0,5,0.0029230117797851562
0.0002117460098816082,0.375,0.625,0.00039019095129333436,0.3401666581630707,0.5726666450500488,18.469242334365845,False,,,6,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_21-01-03,1683169263,151.23805022239685,827447,CTB455-Salmon,10.32.114.243,151.23805022239685,0,6,0.0029230117797851562
0.0005079041002318263,0.25,0.5,0.0006125143845565617,0.26008331775665283,0.5096666812896729,18.35957145690918,False,,,7,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_21-01-21,1683169281,169.59762167930603,827447,CTB455-Salmon,10.32.114.243,169.59762167930603,0,7,0.0029230117797851562
0.005425003357231617,0.0625,0.3125,0.011401748284697533,0.1106666624546051,0.13466666638851166,18.208940982818604,False,,,8,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_21-01-39,1683169299,187.80656266212463,827447,CTB455-Salmon,10.32.114.243,187.80656266212463,0,8,0.0029230117797851562
0.0004924530512653291,0.5,0.1875,0.0017152029322460294,0.3621666729450226,0.23358333110809326,18.58716869354248,False,,,9,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_21-01-58,1683169318,206.39373135566711,827447,CTB455-Salmon,10.32.114.243,206.39373135566711,0,9,0.0029230117797851562
0.00012570821854751557,0.6875,0.4375,0.0001989421434700489,0.6514999866485596,0.3240833282470703,18.384211540222168,False,,,10,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_21-02-16,1683169336,224.77794289588928,827447,CTB455-Salmon,10.32.114.243,224.77794289588928,0,10,0.0029230117797851562
0.0001365136995445937,0.3125,0.8125,0.00019667412561830133,0.4492499828338623,0.8665000200271606,18.33047890663147,False,,,11,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_21-02-35,1683169355,243.10842180252075,827447,CTB455-Salmon,10.32.114.243,243.10842180252075,0,11,0.0029230117797851562
0.000430198764661327,0.5,0.5,0.0003364651929587126,0.590583324432373,0.5141666531562805,18.692038774490356,False,,,12,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_21-02-53,1683169373,261.8004605770111,827447,CTB455-Salmon,10.32.114.243,261.8004605770111,0,12,0.0029230117797851562
0.00021239584020804614,0.625,0.375,0.00020374852465465665,0.5258333086967468,0.4856666624546051,18.606661558151245,False,,,13,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_21-03-12,1683169392,280.40712213516235,827447,CTB455-Salmon,10.32.114.243,280.40712213516235,0,13,0.0029230117797851562
0.004964847583323717,0.8125,0.625,0.010079765692353249,0.6458333134651184,0.1784999966621399,18.543553352355957,False,,,14,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_21-03-31,1683169411,298.9506754875183,827447,CTB455-Salmon,10.32.114.243,298.9506754875183,0,14,0.0029230117797851562
0.0012168355751782656,0.0625,0.4375,0.0006825203308835626,0.22866666316986084,0.3947499990463257,18.59623432159424,False,,,15,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_21-03-49,1683169429,317.54690980911255,827447,CTB455-Salmon,10.32.114.243,317.54690980911255,0,15,0.0029230117797851562
5.661197428707965e-05,0.6875,1.0,7.684894080739468e-05,0.637416660785675,0.9475833177566528,18.541391372680664,False,,,16,21f01584,4ced51bd198c4a1eb77e303ee74cd5b8,2023-05-03_21-04-08,1683169448,336.0883011817932,827447,CTB455-Salmon,10.32.114.243,336.0883011817932,0,16,0.0029230117797851562
