2023-07-07 09:28:27,062 INFO    StreamThr :1274844 [internal.py:wandb_internal():87] W&B internal server running at pid: 1274844, started at: 2023-07-07 09:28:27.062191
2023-07-07 09:28:27,063 DEBUG   HandlerThread:1274844 [handler.py:handle_request():144] handle_request: status
2023-07-07 09:28:27,065 INFO    WriterThread:1274844 [datastore.py:open_for_write():85] open: /home/daniel/research/catkin_ws/src/hyperparam_optimization/bellows_grub/run_logs/fnn_lhs_final/train_849897e4_138_accuracy_tolerance=0.0100,act_fn=sigmoid,b_size=16,cpu_num=7,dataset_size=100000,dt=0.0100,generate_new_data=Fa_2023-07-07_09-28-24/wandb/run-20230707_092827-849897e4/run-849897e4.wandb
2023-07-07 09:28:27,066 DEBUG   SenderThread:1274844 [sender.py:send():336] send: header
2023-07-07 09:28:27,075 DEBUG   SenderThread:1274844 [sender.py:send():336] send: run
2023-07-07 09:28:27,514 INFO    SenderThread:1274844 [dir_watcher.py:__init__():219] watching files in: /home/daniel/research/catkin_ws/src/hyperparam_optimization/bellows_grub/run_logs/fnn_lhs_final/train_849897e4_138_accuracy_tolerance=0.0100,act_fn=sigmoid,b_size=16,cpu_num=7,dataset_size=100000,dt=0.0100,generate_new_data=Fa_2023-07-07_09-28-24/wandb/run-20230707_092827-849897e4/files
2023-07-07 09:28:27,515 INFO    SenderThread:1274844 [sender.py:_start_run_threads():1078] run started: 849897e4 with start time 1688743707.061376
2023-07-07 09:28:27,515 DEBUG   SenderThread:1274844 [sender.py:send_request():363] send_request: summary_record
2023-07-07 09:28:27,515 DEBUG   HandlerThread:1274844 [handler.py:handle_request():144] handle_request: check_version
2023-07-07 09:28:27,515 INFO    SenderThread:1274844 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-07-07 09:28:27,516 DEBUG   SenderThread:1274844 [sender.py:send_request():363] send_request: check_version
2023-07-07 09:28:27,633 DEBUG   HandlerThread:1274844 [handler.py:handle_request():144] handle_request: run_start
2023-07-07 09:28:27,641 DEBUG   HandlerThread:1274844 [system_info.py:__init__():31] System info init
2023-07-07 09:28:27,642 DEBUG   HandlerThread:1274844 [system_info.py:__init__():46] System info init done
2023-07-07 09:28:27,642 INFO    HandlerThread:1274844 [system_monitor.py:start():183] Starting system monitor
2023-07-07 09:28:27,642 INFO    SystemMonitor:1274844 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-07-07 09:28:27,642 INFO    HandlerThread:1274844 [system_monitor.py:probe():204] Collecting system info
2023-07-07 09:28:27,642 INFO    SystemMonitor:1274844 [interfaces.py:start():187] Started cpu monitoring
2023-07-07 09:28:27,643 INFO    SystemMonitor:1274844 [interfaces.py:start():187] Started disk monitoring
2023-07-07 09:28:27,643 INFO    SystemMonitor:1274844 [interfaces.py:start():187] Started gpu monitoring
2023-07-07 09:28:27,644 INFO    SystemMonitor:1274844 [interfaces.py:start():187] Started memory monitoring
2023-07-07 09:28:27,645 INFO    SystemMonitor:1274844 [interfaces.py:start():187] Started network monitoring
2023-07-07 09:28:27,669 DEBUG   HandlerThread:1274844 [system_info.py:probe():195] Probing system
2023-07-07 09:28:27,677 DEBUG   HandlerThread:1274844 [system_info.py:_probe_git():180] Probing git
2023-07-07 09:28:27,687 DEBUG   HandlerThread:1274844 [system_info.py:_probe_git():188] Probing git done
2023-07-07 09:28:27,687 DEBUG   HandlerThread:1274844 [system_info.py:probe():240] Probing system done
